max_gammas,simulation_file,total_events,selected_events,efficiency,eff_uncertainty
1,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
2,Bi214_wire_surface_50M.root,93265832,225591,0.0024187957707813,5.086422653639954e-06
